,total_return,volatility
AAF.L,2.1426231074717488,0.30598601457814967
AAL.L,0.12853143448731097,0.382843967930965
ABF.L,0.21413000581647057,0.24233772646859914
ADM.L,0.32985720076971714,0.22685511893735713
AHT.L,0.058456101996969156,0.3055084789019735
ALW.L,0.33234123665235793,0.13832935884885736
ANTO.L,1.4393775677083651,0.36236329186431804
AUTO.L,-0.10642646174808412,0.2310511417201205
AV.L,0.43583629780497946,0.19962620014126034
AZN.L,0.3592804808339207,0.2364720420580331
BA.L,1.4257148487845628,0.2587092221120056
BAB.L,3.7532359793659475,0.3238341441212774
BARC.L,1.9646692735481217,0.3012222393582067
BATS.L,0.30428495971277103,0.20361807478143432
BEZ.L,0.815643010791228,0.3646948879873058
BKG.L,0.07924931573609384,0.22827119504688814
BNZL.L,-0.2431892466973985,0.23723248917687817
BP.L,-0.032846248908633524,0.25406040167160854
BT-A.L,0.7785666319989735,0.2854476944755947
BTRW.L,-0.06761101160480754,0.2738156388126002
CCEP.L,0.4965467302176705,0.2393094378592214
CCH.L,1.4598172433262575,0.20119231448029704
CNA.L,1.1669272239860797,0.24572431206450376
CPG.L,0.10077625729532458,0.17891073955952908
CRDA.L,-0.5518971660297424,0.2888050011377463
CTEC.L,-0.005411560406814231,0.2715503491955961
DCC.L,0.25054935113083365,0.23743489848395696
DGE.L,-0.5146967690236367,0.22715495201562624
DPLM.L,0.9780811299816174,0.25862468486775947
EDV.L,1.576338934900051,0.37033178488663604
ENT.L,-0.5793860678576097,0.39154030400434603
EXPN.L,-0.10228151697504506,0.2418122190718436
EZJ.L,0.46683920549376157,0.3194062306268211
FCIT.L,0.39920464756636576,0.14089101016740205
FRES.L,3.2317510089026538,0.40974986206746494
GAW.L,0.8954253619775698,0.28311628829563784
GLEN.L,-0.07397615021703052,0.3163896973454225
GSK.L,0.5732228935426196,0.2223147664558811
HIK.L,-0.0027564609570962517,0.2440615121299122
HLMA.L,0.9522034501211589,0.23101039438082105
HLN.L,0.27586118561514184,0.19149453782040715
HSBA.L,1.450690480678627,0.2220968016866566
HSX.L,0.3310280072211409,0.24444748741902864
HWDN.L,0.4909569147479005,0.2485794527533525
IAG.L,2.33772211654834,0.31650422256198163
ICG.L,0.48222221595425463,0.31446820393832786
IHG.L,1.313786481365422,0.2135348932493701
III.L,1.5375462997738523,0.27268308967563476
IMB.L,0.5548498576287597,0.18357652664865923
IMI.L,1.1943466150768232,0.2224378376843962
INF.L,0.3032078291139031,0.20566593477531417
ITRK.L,0.09308555116910022,0.2004569062290866
JD.L,-0.3893579948043292,0.43248418526209276
KGF.L,0.5068825535368733,0.2913851036260656
LAND.L,0.03787641945106235,0.2418222010824596
LGEN.L,0.08641550109209284,0.21573128756211465
LLOY.L,1.2270650985081826,0.24043933213833454
LMP.L,0.22340372071958914,0.23130856594977767
LSEG.L,0.06367342273801224,0.21102376607272344
MKS.L,2.1329886557175315,0.2820155150115677
MNDI.L,-0.40631632089467495,0.27582998879508125
MNG.L,0.6985221756039406,0.21717073999492112
MRO.L,1.3473631738452587,0.36002350519998916
NG.L,0.3699349547042361,0.1970839941405421
NWG.L,1.3191263342884154,0.2826473455912354
NXT.L,1.1763678923041891,0.2317283338880771
PCT.L,1.8636009448550492,0.23485117135183417
PHNX.L,0.2409355769002497,0.23058504641696784
PRU.L,-0.05466728184092351,0.294301676612701
PSH.L,0.5445389052197456,0.22134522975354876
PSN.L,0.21167434668595364,0.3239451131277906
PSON.L,-0.019214015796001904,0.22616922045126786
REL.L,-0.04151839776728139,0.21418732603132928
RIO.L,0.24173019121539863,0.23418456903456417
RKT.L,0.06914297219735732,0.22256599413576397
RMV.L,-0.1717600940569438,0.30372662263963784
RR.L,12.326899705169948,0.3711310795378328
RTO.L,-0.12401629306806428,0.3393708802928476
SBRY.L,0.5768016210786993,0.2216608317578371
SDR.L,0.32428766012560817,0.30827168000156885
SGE.L,0.07498842260426763,0.24632645719254456
SGRO.L,0.01819005762536907,0.24421444960397953
SHEL.L,0.2323591004561414,0.20446496384443627
SMIN.L,0.6502535281876727,0.195061314108984
SMT.L,0.735950042171319,0.23881746774606127
SN.L,0.1835777026519616,0.24447564137243671
SPX.L,-0.27067010303167316,0.2753606371875263
SSE.L,0.5849029929593377,0.22208489105052087
STAN.L,1.8152898009300955,0.302230578852065
STJ.L,0.13119927064265147,0.3937795789530831
SVT.L,0.20091034572037136,0.2166233330010901
TSCO.L,1.1640311419954652,0.19444775614462892
TW.L,0.11292706258166252,0.259178893773522
ULVR.L,0.1964558257258362,0.15935010306045572
UTG.L,-0.36267846288524574,0.22642159878661222
UU.L,0.3608862611110115,0.21024690553503522
VOD.L,0.394203257694548,0.2594198751632231
WEIR.L,1.090368870019545,0.2277361566062459
WPP.L,-0.6781353190128512,0.33068508961436494
WTB.L,0.024094816667649788,0.24502453474854263
