date,AAF.L,AAL.L,ABF.L,ADM.L,AHT.L,ALW.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BEZ.L,BKG.L,BNZL.L,BP.L,BT-A.L,BTRW.L,CCEP.L,CCH.L,CNA.L,CPG.L,CRDA.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,EZJ.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,HSX.L,HWDN.L,IAG.L,ICG.L,IHG.L,III.L,IMB.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,PCT.L,PHNX.L,PRU.L,PSH.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2023-01-03,114.17213439941406,3201.505859375,1625.4437255859375,2159.63037109375,4797.5537109375,952.3509521484375,1561.053955078125,520.1586303710938,447.9368591308594,11526.6865234375,861.6016845703125,290.5389099121094,163.40777587890625,3334.39404296875,667.5321044921875,4021.682373046875,2795.943359375,482.6016540527344,114.61358642578125,413.7757873535156,5165.224609375,1936.729248046875,91.85956573486328,1948.6248779296875,6624.3955078125,232.65904235839844,4134.18310546875,3609.083740234375,2818.387939453125,1776.163818359375,1349.6026611328125,2822.711181640625,329.89300537109375,910.5172729492188,900.8091430664062,8868.7216796875,543.614501953125,1449.2542724609375,1619.4639892578125,2029.5015869140625,322.84075927734375,528.7489624023438,1097.6478271484375,581.5057373046875,128.8004150390625,1168.5157470703125,62.559791564941406,1339.0888671875,2085.73193359375,1303.3492431640625,625.9937744140625,4087.51171875,129.66680908203125,239.1692657470703,639.7678833007812,251.46917724609375,47.05744934082031,174.59486389160156,7143.169921875,126.62031555175781,1555.7105712890625,188.92893981933594,286.0230712890625,997.4926147460938,270.619140625,5950.28076171875,174.39999389648438,614.4557495117188,1176.305419921875,2918.67041015625,1270.555908203125,944.3446655273438,2305.730224609375,5828.158203125,6038.4814453125,522.5599365234375,98.89772033691406,520.9000854492188,224.50509643554688,442.8796081542969,743.0777587890625,784.1365356445312,2364.164794921875,1597.330322265625,716.4929809570312,1121.599365234375,10708.4599609375,1661.3004150390625,639.5433959960938,1109.4420166015625,2670.47412109375,228.73977661132812,104.40935516357422,4479.89794921875,923.395751953125,1004.1250610351562,85.7120361328125,1658.08056640625,833.2694702148438,2673.58056640625
2023-01-04,118.56720733642578,3116.25,1670.900146484375,2219.536865234375,4907.49755859375,965.3419799804688,1553.0587158203125,525.1561889648438,455.8199157714844,11594.6435546875,849.4100952148438,293.33831787109375,167.8825225830078,3341.377685546875,682.5215454101562,4135.58203125,2857.8984375,465.12872314453125,120.4041748046875,428.25390625,5205.18798828125,1965.203125,89.52162170410156,1935.634033203125,6732.3037109375,236.85647583007812,4323.9619140625,3655.04052734375,2842.37451171875,1837.0665283203125,1378.083740234375,2890.68017578125,354.58502197265625,915.5147705078125,966.551513671875,8878.7080078125,505.8689270019531,1446.0582275390625,1604.478515625,2075.490234375,322.3909606933594,542.3194580078125,1118.132080078125,600.0899047851562,134.47776794433594,1207.9656982421875,63.34954833984375,1348.5823974609375,2100.700439453125,1336.332763671875,636.5868530273438,4201.4140625,135.2154083251953,246.95846557617188,655.3378295898438,256.1573486328125,47.3719596862793,177.68946838378906,7171.15869140625,131.61912536621094,1588.6353759765625,192.51905822753906,290.847900390625,1027.946533203125,274.1129150390625,6092.14453125,175.60000610351562,621.8348388671875,1238.7685546875,2923.66796875,1313.9893798828125,953.7382202148438,2363.6982421875,5834.14599609375,5990.64013671875,526.3582153320312,101.38740539550781,530.294677734375,235.28616333007812,449.16937255859375,753.8701782226562,801.3176879882812,2282.263427734375,1617.8154296875,726.6914672851562,1144.081298828125,10818.3916015625,1633.337646484375,659.7227783203125,1127.4251708984375,2767.34619140625,234.73297119140625,107.75164794921875,4515.68505859375,938.3779296875,1037.579345703125,87.60765075683594,1665.07666015625,853.037841796875,2699.556640625
2023-01-05,117.76811981201172,3252.463623046875,1742.8314208984375,2199.568359375,4914.494140625,966.3413696289062,1609.5244140625,534.1804809570312,447.7373046875,11702.5751953125,847.0116577148438,294.7380065917969,172.2174072265625,3327.91064453125,687.0184326171875,4161.4677734375,2858.8974609375,471.0196228027344,123.59898376464844,429.8515625,5305.095703125,1971.6971435546875,90.52074432373047,1933.1358642578125,6510.4912109375,239.8546600341797,4325.96044921875,3649.045654296875,2832.380615234375,1831.076171875,1373.5865478515625,2843.838134765625,375.478271484375,906.5509643554688,945.3700561523438,9183.322265625,513.25830078125,1429.8775634765625,1645.9390869140625,2056.4951171875,312.8456726074219,564.072265625,1104.142822265625,616.0763549804688,138.2960205078125,1193.9833984375,64.46300506591797,1349.5816650390625,2083.735595703125,1370.3155517578125,636.5868530273438,4163.4462890625,139.36431884765625,253.54934692382812,655.3378295898438,257.3543701171875,48.24061965942383,176.49156188964844,7123.1787109375,136.1180877685547,1601.2569580078125,191.27249145507812,296.0921630859375,1027.946533203125,279.00421142578125,6511.74072265625,175.0,618.84326171875,1216.28173828125,2928.665771484375,1313.9893798828125,897.7770385742188,2325.71923828125,5928.9697265625,6063.44384765625,533.155029296875,102.64724731445312,520.1006469726562,239.478759765625,446.7732849121094,753.67041015625,781.1398315429688,2308.731689453125,1618.3150634765625,728.4911499023438,1155.072509765625,10703.4619140625,1647.8184814453125,704.4767456054688,1128.9237060546875,2745.375244140625,238.22897338867188,107.90130615234375,4487.908203125,921.8975830078125,1028.0924072265625,88.56543731689453,1660.0791015625,855.83349609375,2755.50634765625
2023-01-06,118.16766357421875,3438.654541015625,1769.305908203125,2220.53564453125,5015.4423828125,970.3387451171875,1653.99755859375,539.5782470703125,455.0216369628906,11774.5283203125,857.2046508789062,297.3374938964844,171.89776611328125,3335.39208984375,685.5194702148438,4231.8779296875,2897.868896484375,476.3114013671875,126.44434356689453,432.5474548339844,5305.095703125,1976.193115234375,92.41907501220703,1907.6539306640625,6582.43115234375,240.45428466796875,4263.03369140625,3643.0517578125,2874.356201171875,1909.9501953125,1414.0596923828125,2849.8359375,372.0793762207031,913.547607421875,964.1536254882812,9098.427734375,525.14111328125,1430.4769287109375,1672.913330078125,2062.493408203125,317.3934326171875,567.3651123046875,1112.635986328125,625.0686645507812,140.45501708984375,1199.975830078125,66.02958679199219,1374.0648193359375,2068.76611328125,1384.3087158203125,638.9852905273438,4230.38916015625,142.51353454589844,253.14990234375,657.5335693359375,257.7533874511719,47.93109893798828,176.3917236328125,7157.1650390625,137.51776123046875,1635.279541015625,191.87083435058594,298.92401123046875,1042.924072265625,279.4035339355469,6475.77587890625,173.8000030517578,622.632568359375,1229.274169921875,2898.67919921875,1322.9757080078125,901.97412109375,2341.710693359375,6046.75048828125,6096.724609375,538.15283203125,102.88722229003906,501.1115417480469,243.1722869873047,447.9713134765625,767.8603515625,783.936767578125,2347.18505859375,1627.80810546875,723.8919677734375,1159.0693359375,10828.38671875,1672.785400390625,697.0843505859375,1145.9073486328125,2788.31884765625,241.1256866455078,108.59970092773438,4488.4423828125,929.3886108398438,1046.56689453125,88.50557708740234,1691.561767578125,861.823974609375,2799.46630859375
2023-01-09,114.37191772460938,3509.700927734375,1748.326171875,2204.560302734375,5107.39599609375,975.3352661132812,1725.4542236328125,546.9752807617188,454.0237731933594,11728.5576171875,834.6204833984375,289.9390563964844,172.4171905517578,3276.534912109375,666.53271484375,4222.55908203125,2916.855224609375,478.5578918457031,127.84207916259766,427.55499267578125,5265.13232421875,1969.6990966796875,90.38085174560547,1898.66015625,6756.28369140625,241.05393981933594,4245.05419921875,3631.562255859375,2886.349365234375,1910.9483642578125,1465.5255126953125,2865.829345703125,388.77392578125,925.541748046875,930.9827270507812,9113.408203125,541.8169555664062,1419.690185546875,1663.9219970703125,2082.488525390625,321.3414611816406,561.9767456054688,1104.142822265625,625.8679809570312,145.43272399902344,1247.9149169921875,66.7804946899414,1387.055908203125,2061.7802734375,1424.2886962890625,642.1832275390625,4221.39697265625,140.5640411376953,254.04867553710938,666.3167114257812,260.34686279296875,48.17572784423828,179.2866973876953,7283.1142578125,141.06692504882812,1640.7669677734375,193.71575927734375,307.5246276855469,1035.9344482421875,277.3072814941406,6447.80224609375,176.0,618.84326171875,1246.26416015625,2908.6748046875,1293.021484375,905.9712524414062,2330.71630859375,6079.689453125,6125.84521484375,544.9496459960938,103.74710845947266,506.5084533691406,246.66615295410156,451.4656677246094,777.2537231445312,803.9147338867188,2376.150390625,1623.8109130859375,751.48779296875,1167.5623779296875,11033.2607421875,1669.2901611328125,684.6971435546875,1158.8951416015625,2734.39013671875,242.9236297607422,106.65416717529297,4481.498046875,938.3779296875,1025.5958251953125,88.48563385009766,1709.0521240234375,883.9884643554688,2805.460693359375
2023-01-10,110.37638854980469,3423.46533203125,1752.8216552734375,2268.460693359375,5061.4189453125,971.3380737304688,1753.4373779296875,549.57421875,457.41644287109375,11794.515625,838.8174438476562,289.9390563964844,171.3983917236328,3145.852783203125,667.5321044921875,4241.19677734375,2930.844482421875,474.36444091796875,124.94678497314453,422.9619140625,5185.2060546875,1953.214111328125,90.54073333740234,1916.1478271484375,6768.2744140625,246.05087280273438,4282.01123046875,3628.065673828125,2838.376953125,1913.943603515625,1457.531005859375,2880.8232421875,392.47271728515625,923.5426025390625,940.5743408203125,8883.7041015625,533.3292236328125,1412.298828125,1671.4149169921875,2089.487060546875,312.3958740234375,562.8746948242188,1119.131103515625,615.8765869140625,143.6935272216797,1215.95556640625,67.24658966064453,1398.048583984375,2047.8087158203125,1414.2938232421875,642.982666015625,4241.3798828125,140.8639373779297,250.15406799316406,665.3185424804688,257.65362548828125,47.961055755615234,177.4898223876953,7277.11767578125,141.26687622070312,1615.5245361328125,196.00941467285156,307.1050720214844,1020.9570922851562,274.9114990234375,6259.982421875,174.8000030517578,622.233642578125,1240.2677001953125,2928.665771484375,1277.0458984375,915.36474609375,2340.7109375,6061.72314453125,6138.3271484375,552.946044921875,101.0074462890625,510.7060546875,245.368408203125,452.16448974609375,777.0538330078125,790.1299438476562,2373.6533203125,1626.8089599609375,744.2888793945312,1181.55126953125,11068.240234375,1671.7867431640625,687.0946044921875,1148.9046630859375,2729.396484375,241.8249053955078,106.00567626953125,4484.705078125,925.393310546875,1023.598388671875,87.51786804199219,1722.5445556640625,879.1961059570312,2837.43212890625
2023-01-11,110.77595520019531,3462.17333984375,1761.8131103515625,2113.702392578125,5099.39990234375,984.3291625976562,1739.44580078125,551.3733520507812,447.7373046875,11626.6240234375,824.4274291992188,294.9380187988281,173.33609008789062,3120.913818359375,666.0331420898438,4327.138671875,2958.82421875,477.8090515136719,126.44434356689453,422.2629699707031,5175.21533203125,1933.7318115234375,91.71969604492188,1900.6588134765625,6900.16162109375,248.44944763183594,4362.91748046875,3665.030517578125,2854.367431640625,1922.9293212890625,1464.026611328125,2888.820068359375,392.47271728515625,932.5381469726562,936.7775268554688,9133.384765625,534.6273193359375,1408.1038818359375,1678.9078369140625,2132.476318359375,310.9466552734375,568.36279296875,1110.1380615234375,638.8570556640625,146.99200439453125,1266.8909912109375,67.8939437866211,1425.0302734375,2022.8599853515625,1428.28662109375,645.1812133789062,4293.3359375,150.71142578125,257.2442321777344,673.702392578125,251.5688934326172,48.00099182128906,182.5809326171875,7363.0830078125,143.36636352539062,1615.5245361328125,190.27525329589844,312.0347595214844,1026.448974609375,279.6031799316406,6395.85302734375,179.0,619.6410522460938,1243.7655029296875,2973.6455078125,1294.519287109375,925.157958984375,2363.6982421875,6115.62255859375,6165.36767578125,548.5479736328125,102.5672607421875,516.7025146484375,241.47523498535156,461.8487548828125,782.4501342773438,817.300048828125,2403.1181640625,1629.8065185546875,761.0863647460938,1160.068603515625,11353.0654296875,1690.2623291015625,686.6951293945312,1194.361328125,2767.34619140625,243.42308044433594,107.65188598632812,4476.69091796875,954.3587646484375,1039.0771484375,87.61763763427734,1768.019287109375,900.3623657226562,2852.41845703125
2023-01-12,114.07225036621094,3548.4091796875,1799.77685546875,2165.620849609375,5067.53662109375,997.3203125,1761.4324951171875,552.3729858398438,450.7308349609375,11440.740234375,832.6217651367188,298.1373291015625,176.8719482421875,3164.806640625,655.0408325195312,4525.94482421875,2947.83203125,484.2490539550781,128.14158630371094,450.5203857421875,5185.2060546875,1924.739990234375,95.19664764404297,1905.6552734375,6900.16162109375,247.05029296875,4522.73095703125,3638.555908203125,2862.36328125,1936.906982421875,1464.026611328125,2856.83349609375,418.064453125,943.5327758789062,967.1509399414062,9403.041015625,542.9153442382812,1429.2783203125,1695.8916015625,2105.48291015625,313.44537353515625,580.5363159179688,1115.6337890625,654.6436157226562,152.78932189941406,1304.8427734375,69.16275024414062,1410.0404052734375,2051.800537109375,1457.2723388671875,646.5802612304688,4262.36181640625,159.65911865234375,263.3358154296875,690.2705688476562,258.9504089355469,48.67495346069336,189.2692413330078,7369.08056640625,145.2659454345703,1653.9371337890625,202.14251708984375,315.7057189941406,1034.4368896484375,286.9900207519531,6605.65087890625,179.39999389648438,627.6183471679688,1271.7490234375,2998.6337890625,1402.354248046875,936.9497680664062,2350.70556640625,6276.32373046875,6154.966796875,545.5493774414062,103.9870834350586,520.1006469726562,244.07070922851562,467.1401672363281,767.1795043945312,848.4656982421875,2429.586669921875,1630.805908203125,764.685791015625,1148.078125,11403.0361328125,1668.07763671875,698.6828002929688,1241.8160400390625,2773.33837890625,245.720458984375,112.39096069335938,4470.81494140625,986.8199462890625,1044.0703125,91.83788299560547,1778.513671875,918.1338500976562,3017.26904296875
2023-01-13,118.16766357421875,3496.4716796875,1793.282958984375,2180.59765625,4994.57177734375,999.3189086914062,1749.4395751953125,559.170166015625,443.2469482421875,11648.6083984375,832.2219848632812,298.3373107910156,180.5276336669922,3116.42431640625,657.0394287109375,4605.67529296875,2967.817626953125,483.6000671386719,126.79377746582031,454.3146057128906,5185.2060546875,1926.7381591796875,96.7153091430664,1924.1422119140625,6954.11669921875,247.64991760253906,4512.7421875,3676.020263671875,2868.35986328125,1959.8704833984375,1449.0367431640625,2899.815673828125,431.1601867675781,945.5317993164062,948.1676025390625,9413.02734375,557.5941772460938,1432.874267578125,1704.883056640625,2124.478515625,324.83978271484375,589.9158935546875,1111.636962890625,663.8358154296875,157.2472686767578,1311.833740234375,70.1985092163086,1436.5224609375,2039.8253173828125,1472.2647705078125,653.9755859375,4276.35009765625,160.05905151367188,265.2332458496094,698.2550659179688,258.25213623046875,49.53861999511719,188.86993408203125,7441.05224609375,145.86581420898438,1634.730712890625,201.64390563964844,314.76171875,1031.44140625,294.4767761230469,6577.677734375,182.0,623.8291015625,1292.237060546875,2993.636474609375,1413.836669921875,927.9560546875,2375.69189453125,6207.45263671875,6248.57177734375,550.34716796875,108.74649047851562,521.69970703125,240.57684326171875,468.737548828125,774.3755493164062,838.4766845703125,2437.57666015625,1653.2894287109375,776.4840087890625,1152.074951171875,11443.0107421875,1665.580810546875,707.2738647460938,1241.3165283203125,2759.35693359375,245.3209228515625,114.48612213134766,4503.39892578125,981.8258666992188,1035.5819091796875,91.39889526367188,1798.5025634765625,922.1276245117188,3030.25732421875
2023-01-16,119.26643371582031,3481.2822265625,1826.7510986328125,2157.633544921875,5067.53662109375,1003.316162109375,1738.9461669921875,565.1678466796875,442.9476013183594,11668.5966796875,831.0227661132812,300.9367370605469,182.28553771972656,3131.3876953125,633.0562133789062,4614.99365234375,2957.824951171875,480.2552795410156,130.0884246826172,462.5022888183594,5205.18798828125,1943.22314453125,96.39559173583984,1908.653076171875,7058.02880859375,247.64991760253906,4503.75341796875,3697.99951171875,2906.337890625,1963.8638916015625,1456.03173828125,2953.79345703125,441.7567443847656,944.5322875976562,953.5628662109375,9388.060546875,551.7027587890625,1434.4718017578125,1718.8699951171875,2165.468017578125,323.8402404785156,594.80517578125,1084.158203125,685.217529296875,159.0264434814453,1338.30029296875,70.22439575195312,1439.5203857421875,2045.81298828125,1457.2723388671875,653.176025390625,4371.26904296875,161.7086181640625,270.0265808105469,703.4451293945312,257.95294189453125,49.67341232299805,192.66326904296875,7481.0361328125,150.0648193359375,1652.2908935546875,204.5359344482422,316.75457763671875,1020.4580078125,295.9740905761719,6627.62939453125,182.0,626.6212768554688,1324.7178955078125,3023.622802734375,1436.3023681640625,921.9602661132812,2401.677734375,6084.68017578125,6231.9306640625,553.1458740234375,107.14669036865234,522.2992553710938,242.87281799316406,471.33331298828125,771.377197265625,852.4612426757812,2422.5947265625,1667.7789306640625,779.2837524414062,1151.07568359375,11752.822265625,1680.5634765625,701.0802612304688,1265.2935791015625,2749.369873046875,247.21876525878906,117.08015441894531,4518.88916015625,1002.8008422851562,1027.5928955078125,93.08500671386719,1808.9967041015625,939.3001098632812,3060.230224609375
